Model,Accuracy,Precision,Recall,F1-Score,Best Val Acc,Parameters (M),Std Dev,Completed Folds
swinv2,97.4,97.56,97.4,97.4,97.3,86.91,0.65,5
convnext_large,97.33,97.45,97.33,97.33,97.74,196.25,0.6,5
nasnet_large,97.07,97.32,97.07,97.06,97.37,84.77,0.39,5
mobilenet_v3,96.93,97.13,96.93,96.93,97.04,4.22,0.25,5
davit,96.87,97.01,96.87,96.87,97.78,86.94,1.09,5
efficientnet_v3,96.73,96.83,96.73,96.73,97.11,20.19,0.71,5
inception_resnet_v2,96.67,96.83,96.67,96.68,97.59,54.32,0.6,5
resnet152,96.53,96.72,96.53,96.52,96.96,58.17,0.4,5
vgg19,95.47,95.6,95.47,95.47,95.44,139.63,0.81,5
coatnet_3,90.13,90.65,90.13,90.11,89.67,163.65,3.67,5
vit_large_patch16,58.33,59.71,58.33,56.92,61.56,303.31,17.5,5
